,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious/Critical,Tot Cases/1M,Deaths/1M,Total Tests,Tests/1M,Population,Continent,%Inc Cases,%Inc Deaths,%Inc Recovered
63,Ecuador,799140,-1.0,35036,-1.0,0,0.0,0,759,44208.0,1938.0,2470170,136649,18076778,South America,-0.00012513451960857923,-0.002854207101267268,
64,Uruguay,782556,5066.0,6778,22.0,726478,5815.0,49300,167,224021.0,1940.0,5519236,1579980,3493231,South America,0.6473658115201979,0.3245795219828858,0.80043717772596
65,Costa Rica,766520,2085.0,7806,8.0,595250,1727.0,163464,152,148279.0,1510.0,3544847,685730,5169453,North America,0.27200855815895214,0.10248526774276198,0.2901301973960521
66,Azerbaijan,747918,2749.0,9077,27.0,690059,3971.0,48782,-1,72704.0,882.0,6398476,621985,10287182,Asia,0.3675536622998778,0.29745510631265837,0.5754580405443592
67,Panama,743653,799.0,7960,10.0,716681,3490.0,19012,83,168068.0,1799.0,5404570,1221448,4424724,North America,0.10744258410844844,0.12562814070351758,0.48696700484594957
68,Guatemala,735957,858.0,16643,6.0,671717,2354.0,47597,5,39885.0,902.0,3765637,204078,18451968,North America,0.11658289818562768,0.036051192693624945,0.35044520236945026
69,Saudi Arabia,730614,2227.0,8974,1.0,695470,3469.0,26170,1016,20470.0,251.0,39604333,1109626,35691592,Asia,0.3048121169317861,0.011143302874972142,0.49879937308582684
70,Sri Lanka,629347,1231.0,15844,36.0,595345,317.0,18158,-1,29192.0,735.0,6205382,287837,21558681,Asia,0.19559956589925748,0.22721534965917697,0.0532464369399256
71,Paraguay,626355,1880.0,17964,59.0,577596,4850.0,30795,191,86104.0,2469.0,2482018,341199,7274404,South America,0.3001492763688324,0.3284346470719216,0.8396872554519076
72,Kuwait,603869,2562.0,2521,1.0,565903,5406.0,35445,90,138096.0,577.0,7332716,1676885,4372821,Asia,0.42426420299767004,0.039666798889329634,0.9552873902417905
73,Finland,582383,12410.0,2214,44.0,46000,-1.0,534169,37,104846.0,399.0,9703521,1746914,5554663,Europe,2.1309001121255258,1.9873532068654018,-0.002173913043478261
74,Dominican Republic,569702,256.0,4347,-1.0,562762,1010.0,2593,79,51678.0,394.0,3051202,276776,11024077,North America,0.04493577343944729,-0.023004370830457786,0.17947196150415273
75,Palestine,558862,2901.0,5027,13.0,507410,3467.0,46425,127,105579.0,950.0,3078533,581592,5293290,Asia,0.5190905805010897,0.258603540879252,0.6832738810823594
76,Myanmar,548357,1586.0,19311,1.0,518076,546.0,10970,-1,9970.0,351.0,6713698,122066,55000582,Asia,0.28922763819920233,0.005178395733001916,0.10538994278831677
77,Latvia,522766,4144.0,5029,5.0,384121,6854.0,133616,77,282208.0,2715.0,6424588,3468225,1852414,Europe,0.7927064881801801,0.0994233446013124,1.7843335823868
78,Venezuela,506977,1030.0,5556,7.0,488063,1563.0,13358,230,17911.0,196.0,3359014,118670,28305416,South America,0.20316503510021167,0.12598992080633548,0.3202455420714129
79,Moldova,485563,1047.0,10962,22.0,440981,3412.0,33620,155,120824.0,2728.0,2916565,725735,4018775,Europe,0.21562598468169938,0.20069330414158,0.7737294804084529
80,Singapore,478577,9082.0,906,9.0,440383,10298.0,37288,24,80774.0,153.0,22888183,3863075,5924861,Asia,1.8977092505490234,0.9933774834437087,2.33841905795637
81,Libya,473114,2800.0,6135,10.0,422487,4208.0,44492,129,67370.0,874.0,2350586,334718,7022576,Africa,0.5918235351310678,0.16299918500407498,0.9960069777294923
82,Bahrain,468623,4818.0,1427,-1.0,415114,7002.0,52082,17,260753.0,794.0,9182056,5109107,1797194,Asia,1.028118551586243,-0.0700770847932726,1.6867655631946885
